column,neotoma,rowwise,type,schema,table,chronologyname,agemodelcolumn,agetype,ageboundyounger,ageboundolder,formatorrange,taxonname,unitcolumn,uncertainty_uncertaintybasis,uncertainty_uncertaintycolumn,uncertainty_unitcolumn,taxonid,uncertaintybasis
datasettypeid,ndb.datasettypes.datasettype,,,,,,,,,,,,,,,,,
databaseid,ndb.datasetdatabases.databasename,,,,,,,,,,,,,,,,,
site_name,ndb.sites.sitename,False,string,,,,,,,,,,,,,,,
elevation,ndb.sites.altitude,False,float,,,,,,,,,,,,,,,
site_id,ndb.sites.sitedescription,False,string,,,,,,,,,,,,,,,
notes,ndb.sites.notes,False,,,,,,,,,,,,,,,,
latitude,ndb.sites.geog.latitude,False,float,sisal,Site,,,,,,,,,,,,,
longitude,ndb.sites.geog.longitude,False,float,,,,,,,,,,,,,,,
persist_id,ndb.collectionunits.handle,False,string,,,,,,,,,,,,,,,
site_name,ndb.collectionunits.collunitname,False,string,,,,,,,,,,,,,,,
site_id,ndb.speleothems.siteid,False,int,sisal,Entity,,,,,,,,,,,,,
entity_id,ndb.speleothems.entityid,False,int,sisal,Entity,,,,,,,,,,,,,
entity_name,ndb.speleothems.entityname,False,string,sisal,Entity,,,,,,,,,,,,,
monitoring,ndb.speleothems.monitoring,False,,sisal,Site,,,,,,,,,,,,,
rock_age,ndb.speleothems.rockageid,False,,sisal,Entity,,,,,,,,,,,,,
distance_entrance,ndb.speleothems.entrancedistance,False,float,sisal,Entity,,,,,,,,,,,,,
speleothem_type,ndb.speleothems.speleothemtypeid,False,,sisal,Entity,,,,,,,,,,,,,
entity_status,ndb.speleothems.entitystatusid,False,,sisal,Entity,,,,,,,,,,,,,
drip_type,ndb.speleothems.speleothemdriptypeid,False,,sisal,Entity,,,,,,,,,,,,,
geology,ndb.speleothems.speleothemgeologyid,False,,sisal,Entity,,,,,,,,,,,,,
sample_id,ndb.analysisunits.analysisunitname,True,,sisal,Sample,,,,,,,,,,,,,
depth_sample,ndb.analysisunits.depth,True,float,sisal,Sample,,,,,,,,,,,,,
depth_sample,ndb.chroncontrols.depth,True,float,sisal,Sample,,,,,,,,,,,,,
sample_thickness,ndb.analysisunits.thickness,True,float,sisal,Sample,,,,,,,,,,,,,
sample_thickness,ndb.chroncontrols.thickness,True,float,sisal,Sample,,,,,,,,,,,,,
mineralogy,ndb.analysisunits.faciesid,True,,sisal,Sample,,,,,,,,,,,,,
lab_num,ndb.samples.labnumber,True,string,,,,,,,,,,,,,,,
age_model_type,ndb.chronologies.agemodel,False,str,sisal,Original chronology,,,,,,,,,,,,,
agetype,ndb.chronologies.agetype,False,string,,,,,,,,,,,,,,,
agetype,ndb.geochronology.agetype,False,str,,,,,,,,,,,,,,,
agetype,ndb.chroncontrols.agetype,False,str,,,,,,,,,,,,,,,
interp_age,ndb.sampleages.age,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
interp_age_uncert_neg,ndb.sampleages.ageyounger,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
interp_age_uncert_pos,ndb.sampleages.ageolder,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
lin_interp_age,ndb.chronologies.age,True,float,sisal,SISAL chronology,lin_interp_age,,,lin_interp_age_uncert_neg,lin_interp_age_uncert_pos,,,,,,,,
lin_interp_age_uncert_neg,ndb.chronologies.ageboundyounger,True,float,sisal,SISAL chronology,lin_interp_age,,,,,,,,,,,,
lin_interp_age_uncert_pos,ndb.chronologies.ageboundolder,True,float,sisal,SISAL chronology,lin_interp_age,,,,,,,,,,,,
lam_age,ndb.chronologies.age,True,float,sisal,SISAL chronology,lam_age,,,lam_age_uncert_neg,lam_age_uncert_pos,,,,,,,,
lam_age_uncert_neg,ndb.chronologies.ageboundyounger,True,float,sisal,SISAL chronology,lam_age,,,,,,,,,,,,
lam_age_uncert_pos,ndb.chronologies.ageboundolder,True,float,sisal,SISAL chronology,lam_age,,,,,,,,,,,,
Bacon_age,ndb.chronologies.age,True,float,sisal,SISAL chronology,Bacon,,,Bacon_age_uncert_neg,Bacon_age_uncert_pos,,,,,,,,
Bacon_age_uncert_neg,ndb.chronologies.ageboundyounger,True,float,sisal,SISAL chronology,Bacon,,,,,,,,,,,,
Bacon_age_uncert_pos,ndb.chronologies.ageboundolder,True,float,sisal,SISAL chronology,Bacon,,,,,,,,,,,,
Bchron_age,ndb.notinuse.age,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
Bchron_age_uncert_neg,ndb.notinuse.ageyounger,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
Bchron_age_uncert_pos,ndb.notinuse.ageolder,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
OxCal_age,ndb.notinuse.age,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
OxCal_age_uncert_neg,ndb.notinuse.ageyounger,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
OxCal_age_uncert_pos,ndb.notinuse.ageolder,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
StalAge_age,ndb.notinuse.age,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
StalAge_age_uncert_neg,ndb.notinuse.ageyounger,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
StalAge_age_uncert_pos,ndb.notinuse.ageolder,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
copRa_age,ndb.notinuse.age,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
copRa_age_uncert_neg,ndb.notinuse.ageyounger,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
copRa_age_uncert_pos,ndb.notinuse.ageolder,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
interp_age,ndb.chronologies.age,True,float,sisal,Original chronology,interp,,,interp_age_uncert_neg,interp_age_uncert_pos,,,,,,,,
interp_age_uncert_neg,ndb.chronologies.ageboundyounger,True,float,sisal,Original chronology,interp,,,,,,,,,,,,
interp_age_uncert_pos,ndb.chronologies.ageboundolder,True,float,sisal,Original chronology,interp,,,,,,,,,,,,
lin_reg_age,ndb.notinuse.age,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
lin_reg_age_uncert_neg,ndb.notinuse.ageyounger,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
lin_reg_age_uncert_pos,ndb.notinuse.ageolder,True,float,sisal,SISAL chronology,,,,,,,,,,,,,
sample_id,ndb.chronologies.sampleid,True,,sisal,SISAL chronology,,,,,,,,,,,,,
14C_correction,ndb.radiocarbon.resevoir,False,,sisal,Dating,,,,,,,,,,,,,
Ba_Ca_measurement,ndb.data.value,True,float,sisal,Ba_Ca,,,,,,> 0,Barium:Calcium,Ba_Ca_measurement_units,2 Standard Deviations,Ba_Ca_precision,Ba_Ca_precision_units,,
Ba_Ca_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Ba_Ca_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,Barium:Calcium,Ba_Ca_precision_units,,,,,2 Standard Deviations
Ba_Ca_precision_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Ba_Ca_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Ba_Ca_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Mg_Ca_measurement,ndb.data.value,True,float,sisal,Mg_Ca,,,,,,> 0,Magnesium:Calcium,Mg_Ca_measurement_units,2 Standard Deviations,Mg_Ca_precision,Mg_Ca_precision_units,,
Mg_Ca_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Mg_Ca_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,Magnesium:Calcium,Mg_Ca_precision_units,,,,,2 Standard Deviations
Mg_Ca_precision_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Mg_Ca_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Mg_Ca_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
P_Ca_measurement,ndb.data.value,True,float,sisal,P_Ca,,,,,,> 0,Phosphorus:Calcium,P_Ca_measurement_units,2 Standard Deviations,P_Ca_precision,P_Ca_precision_units,,
P_Ca_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
P_Ca_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,Phosphorus:Calcium,P_Ca_precision_units,,,,,2 Standard Deviations
P_Ca_precision_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
P_Ca_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
P_Ca_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Sr_Ca_measurement,ndb.data.value,True,float,sisal,Sr_Ca,,,,,,> 0,Strontium:Calcium,Sr_Ca_measurement_units,2 Standard Deviations,Sr_Ca_precision,Sr_Ca_precision_units,,
Sr_Ca_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Sr_Ca_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,Strontium:Calcium,Sr_Ca_precision_units,,,,,2 Standard Deviations
Sr_Ca_precision_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Sr_Ca_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Sr_Ca_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Sr_isotopes_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Sr_isotopes_measurement,ndb.data.value,True,float,sisal,Sr_isotopes,,,,,,> 0,Sr_isotopes,Sr_isotopes_measurement_units,2 Standard Deviations,Sr_isotopes_precision,Sr_isotopes_precision_units,,
Sr_isotopes_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Sr_isotopes_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,Sr_isotopes,Sr_isotopes_precision_units,,,,,
Sr_isotopes_precision_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Sr_isotopes_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
U_Ca_measurement,ndb.data.value,True,float,sisal,U_Ca,,,,,,> 0,Uranium:Calcium,U_Ca_measurement_units,2 Standard Deviations,U_Ca_precision,U_Ca_precision_units,,
U_Ca_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
U_Ca_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,Uranium:Calcium,U_Ca_precision_units,,,,,2 Standard Deviations
U_Ca_precision_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
U_Ca_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
U_Ca_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
calib_used,ndb.chroncontrolscal14.calibrationcurveid,False,,sisal,Dating,,,,,,,,,,,,,
cave_map,ndb.speleothem.imagemap,False,,sisal,Entity,,,,,,,,,,,,,
citation,ndb.publications.citation,True,string,sisal,Reference,,,,,,,,,,,,,
clumped_isotopes,ndb.speleothem.clumped_isotopes,False,,sisal,Entity,,,,,,,,,,,,,
composite_entity_id,ndb.aggregatedatasets,False,,sisal,Composite link entity,,,,,,,,,,,,,
contact,ndb.datasetpis.contactname,True,,sisal,Entity,,,,,,,,,,,,,
copernicus_lcc,ndb.speleothem.copernicus_lcc,False,,sisal,Entity,,,,,,,,,,,,,
corr_age,ndb.chroncontrols.age,True,float,sisal,Dating,,,,,,,,,,,,,
corr_age_uncert_neg,ndb.chroncontrols.agelimityounger,True,float,sisal,Dating,,,,,,,,,,,,,
corr_age_uncert_pos,ndb.chroncontrols.agelimitolder,True,float,sisal,Dating,,,,,,,,,,,,,
cover_thickness,ndb.speleothem.coverthickness,False,,sisal,Entity,,,,,,,,,,,,,
cover_type,ndb.speleothem.covertype,False,,sisal,Entity,,,,,,,,,,,,,
d13C,ndb.externalspeleothem.id,False,,sisal,Entity,,,,,,,,,,,,,
d13C_measurement,ndb.data.value,True,float,sisal,d13C,,,,,,> 0,δ13C,d13C_measurement_units,2 Standard Deviations,d13C_precision,d13C_precision_units,,
d13C_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,> 0,,,,,,,
d13C_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,δ13C,d13C_precision_units,,,,,2 Standard Deviations
d13C_precision_units,ndb.variables.variableunits,False,str,,,,,,,,> 0,,,,,,,
d18O,ndb.externalspeleothem.id,False,,sisal,Entity,,,,,,,,,,,,,
d18O_measurement,ndb.data.value,True,float,sisal,d18O,,,,,,> 0,δ18O,d18O_measurement_units,2 Standard Deviations,d18O_precision,d18O_precision_units,,
d18O_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,> 0,,,,,,,
d18O_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,δ18O,d18O_precision_units,,,,,2 Standard Deviations
d18O_precision_units,ndb.variables.variableunits,False,str,,,,,,,,> 0,,,,,,,
d18O_dripwater_carbonate_difference,ndb.speleothem.dripwatercarbonatedifference,False,,sisal,Entity,,,,,,,,,,,,,
